Zeit (ns),Daten (Hex)
1345,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b43b6469c01a0
1355,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221285f92ca020
1365,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d39a4cc7afa80
1375,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006b902a71c3ba80
1385,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000860f9dbc5e520
1395,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002bacc684c2cf40
1405,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026928f70784660
1415,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001a6ea72459e300
1425,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000187f1ee347ac40
1435,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002b7b648816a9c0
1445,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197c735235baa0
1455,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000169a61fa18cba0
1465,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046e1a8880ffec0
1475,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022ecfd91d68640
1485,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002fa17105729c40
1495,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b0ccdcaecdb40
1505,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003537595653c200
1515,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1921879d21e0
1525,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030ca09f1764d00
1535,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003192d19f0288e0
1545,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002fd3513d29f180
1555,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121875c7d9fb40
1565,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001ad5b8ec2cdc20
1575,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002608174891cc00
1585,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001746502996af60
1595,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001d7126355b1e60
1605,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001604cfa1b6c160
1615,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000182dc6c16066c0
1625,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219129294697e0
