Zeit (ns),Daten (Hex)
1345,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c56dd799b9a00
1355,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002271e12dd36ba0
1365,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021ac168013a380
1375,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132c6248f38560
1385,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402c91e81291c0
1395,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210b3d324cbee0
1405,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000250932d9beb1a0
1415,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001fb1e55d4326a0
1425,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017ea6963744a40
1435,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001479353c5eea80
1445,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010a3d9fe7f54e0
1455,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003abf3ec5b07220
1465,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001fd8b8ee56a000
1475,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000268938538f8c80
1485,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000229f3f83625a00
1495,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045674904051780
1505,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001eced8bb54ade0
1515,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1a38aeecc8a0
1525,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221dd1bd5613e0
1535,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001a6fba10962180
1545,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015d4b7b8a59920
1555,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013ca1852043ba0
1565,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013dcc246e9aa40
1575,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001d1ab0801adc00
1585,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011e0a672ff2a20
1595,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026210895a875c0
1605,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015cf97254cd000
1615,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019318074cc7100
1625,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012f4f7f411e600
1635,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001642af09da3840
1645,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e4c7b30bb1880
1655,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000166f44d59e0c60
1665,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018e7b5beb1a8e0
1675,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010a389c3710ba0
1685,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104e7d5cdd5d00
1695,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c22a4696f3780
1705,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002077b432651d40
1715,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012266978246340
1725,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002ebe456d5ed720
1735,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017074b1a248be0
1745,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000082b594ec56d060
1755,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b55a5b2531380
1765,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016ab238ca8fb80
1775,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e87f28e91c580
1785,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017d7358c21fec0
1795,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000175ec91e17eb40
1805,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001cb96d72f76600
1815,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001eceffcf0346e0
1825,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012e7c0a630f3c0
1835,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000194e302418ae00
1845,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103bf7fba6b280
1855,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000138358e0a13fe0
1865,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001aa4b5f952ecc0
1875,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019ba3a756e8560
1885,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000190b6194e7de60
1895,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001f0e8d54939ae0
1905,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027849460297020
1915,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011dbb3fd2d1e20
1925,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022142879106d00
1935,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020566bc85479a0
1945,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b4cc4a9139fe0
1955,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014bade692d57a0
1965,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ed098b1acb880
1975,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010892f62c17b60
1985,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019bb158910fd60
1995,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002fa9d57b0939c0
2005,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002bd726e45df800
2015,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016e8f8fea5bbc0
2025,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000179bf1d50c9de0
2035,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128c4ee76e0f80
2045,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001797a8d5568920
2055,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000268f7398105ce0
2065,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001bda3f15b281e0
2075,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001045eb2c362320
2085,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001cab2aa5287a20
2095,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028f85802303100
2105,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053258fb47c9cc0
2115,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003ef9825f398680
2125,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c1f127d5e07c0
2135,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002963b1dd6a89e0
2145,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000129823842bd480
